Curse Name,Short Description,Resolution,Level,Target,Affects,NSFW,Reward
Welcome to the Apocalypse,"Before or shortly after your entry into the world an apocaplypse will happen. You are guaranteed to survive it, but nearly all civilization is destroyed as a result. What the resulting wasteland looks like it up to you, but no matter what it is a place where safety is hard won.",Rebuild a civilization.,Moderately Lethal Danger,World,Daily Life,FALSE,2x 4 Star
Ugly,"You're unattractive. Flat out. Most people will overly focus on things about you that they dislike, dismissing or otherwise overlooking attractive qualities.",Obtain a transformation ability or two rolls with at least a C in Moxie,Moderate Inconvenience,You,Physical State,FALSE,1x 2 Star
Unlimited Goose Works,"This curse summons a goose a day, you must preform one task for the goose and it will leave you alone. Failure to do so will cause the goose to make itself known. Perhaps by making you trip, ruining your dinner, setting your house on fire, erase your hard drive? All things are possible for this goose. If you fail to do a task, besides the consequences of letting the goose be known, it will add one more goose to you. This scales up to 3 geese.","Fulfill the task once per goose, per day for 7 days. the task will always be possible, but it will be annoying.",Moderate Physical Threat,You,Daily Life,FALSE,2x 3 Star
The Horse is Here,"At random moments, a horse without any thought in their brain will appear and just stare at you. It doesn't do much else, but it will make things awkward and uncomfortable.",Dude... let's kill the horse. (Pacify or kill the Horse.),Minor Inconvenience,You,Daily Life,FALSE,1x 2 Star
You was there too!,"Any time someone tells a story, no matter how improbable, you was there too!","No I was not there, you're making shit up! (Interrupt 10 stories featuring you and deny your involvement, even if you was there)",Major Distress,You,Existence,FALSE,1x 3 Star
May You Live in Interesting Times,I want to get off of Mr. Bones' wild ride,Good fucking luck. (No resolution),Moderately Lethal Danger,World,Existence,FALSE,2x 4 Star
"On Second Thought, This is Terrible","You are now the star of a porn flick. Expect your pants to be destroyed, underwear to break, be trapped in increasingly silly ways that leaves your butt out, trip into boobs/dick, and in general constantly experience porn scenarios. The vast majority of people will properly listen to you telling them no.",Somehow remain abstinent long enough for the movie to go over budget and get cancelled. (Two weeks),Major Distress,You,Daily Life,FALSE,1x 3 Star
"Everyday, I wake up!","You are cursed like Moon Knight to have multiple Minds/Souls, you will randomly black out or go to sleep and wake up to find yourself in major danger, driving a getaway car, in the middle of a shootout, or even a fight. Try not to die.",Have your Soul or Mind split into seperate bodies to remove the other personalities doing these things.,Major Physical Threat,You,Existence,FALSE,2x 3 Star
Misunderstandings and You!,"It's difficult to properly get across what you mean. While this doesn't mean people will take the worst possible interpretation of your words, they generally aren't going to get what you mean either. Explaining a plan is doomed to failure, and don't even think about subtext or implying anything.",Get three rolls with Moxie or Memetic at C or one with Moxie or Memetic at A,Major Inconvenience,You,Communication,FALSE,2x 2 Star
Life as the Designated Fanservice Girl Sure is Hard,"You're a girl now. Sorry, not sorry. At least you're attractive, with boobs as big as your head, a butt to match, and a waist that makes people wonder where you put your internal organs. Unfortunately, you're completely incapable of wearing pants or covering more than 40% of your skin. Except when said outfit fits a traditionally 'sexy' role, such as maid or bunnygirl. You also feel exceptionally nervous and anxious if going out without at least a minor amount of makeup. Additionally, if there is any chance to expose even more of your body the world will take it stopping only when it would make you genuinely indencent... most of the time. Expect to spend a lot on clothing. Or just go around with so little fabric on there isn't anything left to rip off.","Obtain a transformation effect, a B or higher Magic effect to break the curse, or three D rank or higher Moxie effects, at which point you're too cool to care about something silly like this.",Moderate Inconvenience,You,Daily Life,FALSE,1x 2 Star
Entropy Loss Syndrome,"Your body is slowly fading away. At first it won't cause issues, but gradually you will slow and the barrier between yourself and the world grows increasingly thin. Accelerates aging and inevitably results in premature death.",Obtain S level genetic assistance or an S or higher magical effect.,Majorly Lethal Danger,You,Physical State,FALSE,2x 4 Star
Mana Tanks,"Any supernatural energy you gain access to takes up physical space on your body. Luckily it's heavily compressed, but you still have to choose where to put it. By default it all goes to your boobs, but you can portion it out to your butt and thighs as well. C rank Magic is enough to have tits bigger than you head and it only gets worse from there.","None, but can be alleviated by learning to compress your energy, storing it outside of your body, or getting physically larger.",Moderate Inconvenience,You,Physical State,FALSE,1x 2 Star
No Curing Cancer,"Sure, you could do things for the public good, but you're actually rather terrible at it. Any attempt you make to improve the general state of the entire world is doomed to failure for one reason or another. Improving a single region is acceptable, so long as that region is under your control in some way.",Take over the world.,Moderate Distress,World,Existence,FALSE,1x 3 Star
Komi Kommunication,"You're incredibly shy. Attempting to speak to another person without hyping yourself up is nearly impossible, and forget talking to someone without a specifc subject in mind. People talking to you doesn't go any better, resulting in stuttering and long periods of silence.","Gain something to improve you communication or an A rank Moxie ability, at which point you chill out enough to communicate mostly normally",Moderate Inconvenience,You,Communication,FALSE,1x 2 Star
Hollowing,"You've been cursed with the Dark Sign. In exchange for slowly losing yourself over time, forgetting who you are eventually, and perhaps even giving into despair and curling up for eternity, you gain an increased physique, the immunity to true death for a given value, and can augment yourself with 'souls', nebulous energy that all creatures can carry. (Grants 'Physique of the Undead'.)",Cure the Curse,Minor Existential Erasure,You,Existence,FALSE,1x 5 Star
No Capes!,"Any loose piece of fabric on you tickles the nose of bad luck, and brings about terrible things onto you.  From getting it stuck in doors, to causing you to get blown away by the wind catching it, or even worse events.","Belts and proper clothing care. Obtaining an ability that allows you skill at Aura Farming, or equivalent, will remove the curse.",Moderate Inconvenience,You,Daily Life,FALSE,1x 2 Star
Back Taxes,"You owe the IRS a million dollars. No, it doesn't matter if you're in a completely separate dimension, the IRS will want to be paid. Failure to pay will have the IRS garnish your wages, no matter how absurd it may be for that to actually happen.",Pay back what you owe,Major Inconvenience,You,Daily Life,FALSE,2x 2 Star
An Enemy Aura Farmer,"Once at a random time of the month, you will be challenged to an Aura Match by a random person of equal Aura to your own. The loser will be forced to do one thing for the winner and be in Aura Debt. This is unavoidable.",Do NOT lose Aura.,Major Distress,You,Daily Life,FALSE,1x 3 Star
Flirtatious Demeanour,"It doesn't matter what you say or how you act, you will be flirting with everyone you meet.",Gain something to improve you communication or two C rank or above Moxie abilities.,Moderate Inconvenience,You,Communication,FALSE,1x 2 Star
Full Force Latex Suiting,"Somehow, you have come into contact with a sapient latex suit, which has bonded to you. It cannot be removed, covers up your entire body, and while it's usually content to let you do whatever you wish, it does attempt to keep you safe and away from conflict. To an almost excessive degree. It can communicate, and is incredibly attached to you, but generally doesn't.","Obtain an ability to escape the bondage, a transform ability to become large or small enough to escape, or an A rank Might ability to rip the suit off. Provided you're okay with killing the being attached to you.",Moderate Distress,You,Daily Life,TRUE,1x 3 Star
Complete Digital Conversion (Hasty Edition),"You are now an entirely digital entity. You don't need to sleep, eat, drink, or engage in any biological process. You aren't any more resistant to damage than usual. With proper knowledge, you can change your base code to look like whatever you want and even give yourself abilities! Problem is- this process was terribly botched. In that your firewalls are non-existent and your password is 'password'. Hope you like your memories being open to anyone wanting a look, though luckily it's a bit more difficult to gain write permissions. Not too much though, so expect someone to figure that out in a week. Once that happens, you're entirely at their mercy. Expect to end up with a bimbo body before long, and after six months of playing with you someone will simply turn you into their permanent mind-controlled slave.",Obtain proper firewalls or black boxing of your own code before the six month time limit expires.,Moderately Lethal Danger,You,Daily Life,TRUE,2x 4 Star
X GON GIVE IT TO YA,"At random, a bigass motherfucker named Mr. X will spawn out of nowhere and knock your fucking teeth out. This cannot be avoided.","Regrow your teeth, visit a dentist for dentures, or defeat Mr. X before he can knock your block off.",Minorly Lethal Danger,You,Physical State,FALSE,1x 4 Star
Parker Luck,You now have mainline Spider-Man's luck in life and love. Good fucking luck.,"Raise your luck high enough to counteract the Parker Luck, or learn to manage your life anyway.",Major Physical Threat,You,Daily Life,FALSE,2x 3 Star
Fear of Boobs,"You are now deathly afraid of women's bare breasts, even thinking about them will make you faint with fear.","Therapy, or a ticket that counteracts the fear.",Major Distress,You,Mental State,TRUE,1x 3 Star
Tis But a Scratch!,"All of your limbs have been cut off, but it's only a scratch! Sorta. Call it a draw.","Find some way to get your limbs back, either regeneration or prosthetic.",Major Physical Threat,You,Physical State,FALSE,2x 3 Star
SKREEEEEONK!,"At random, GMK Godzilla will attack the city/populated area you're in regardless of how little sense that makes. Good Fucking Luck.",Survive (or drive off/pacify/defeat Godzilla),Majorly Lethal Danger,Others,Combat,FALSE,2x 4 Star
Telltale Dialogue,Words you say may be verbalized far differently than you intended (usually with aggressive results),"Increase speech level, charisma, or self control to say exactly what you mean.",Moderate Inconvenience,You,Mental State,FALSE,1x 2 Star
Inverted Controls,"Every movement you make is inverted as if on a controller. Forward is back, left is right, up is down, etc.","Adapt to the inversion, or gain a ticket/ability for body control.",Moderate Distress,You,Daily Life,FALSE,1x 3 Star
Chainsmoker Cat,You're extremely addicted to smoking.,Quit.,Major Inconvenience,You,Daily Life,FALSE,2x 2 Star
Sailor Starlight,"In order to access any non-passive of object granted by the Chaos Gacha, you must transform into a separate form. This form is the opposite of your current sex and dressed in an elaborate themed outfit.","Gain a transformation ability that can change your physical sex, accept yourself no matter what you look like, or become such an absolute badass that transforming is a downgrade.",Major Inconvenience,You,Combat,FALSE,2x 2 Star
Bag o' Nickels,"Whenever you least expect it, a bag of nickels will hit you in the nuts with significant force.","Either learn to dodge, destroy the bags first, or get tough enough that they no longer hurt you.",Moderate Physical Threat,You,Daily Life,FALSE,2x 3 Star
Rap-oholic,"You have to rap everything you say. Yes, that includes the N-word. You can choose your style and flow, but that's it. Expect to get slapped at least once.","Acquire a method to control what you say properly, stop speaking, or just live with it.",Moderate Inconvenience,You,Communication,FALSE,1x 2 Star
Rhyming Scheme,"Everything you say must be in rhyme, the pattern of which is up to you.","Acquire a method to control what you say properly, stop speaking, or just live with it.",Moderate Inconvenience,You,Communication,FALSE,1x 2 Star
Infertility,"You cannot impregnate, or be impregnated by, anyone else. No children in your future ever, unless you adopt.",Gain a fertility modifying ability.,Moderate Inconvenience,You,Relationships,TRUE,1x 2 Star
I am RETEP!,Somewhere in the world is an evil version of you with a backwards name and all your starting tickets. They will try to find and kill you and take over your life.,Highlander rules. Only one.,Moderate Physical Threat,You,Combat,FALSE,2x 3 Star
Unscratchable Itch,"An itch you just can't seem to scratch. It moves around, goes deeper than you'd think, and is generally a massive annoyance.",Scratch the itch... or rip it out.,Major Inconvenience,You,Daily Life,FALSE,2x 2 Star
Hyperfertility,Any sexual act you perform (even oral) will be enough to cause pregnancy in either yourself or your partner.,Gain a method to control your fertility... or roll Infertility so they cancel out.,Major Inconvenience,You,Relationships,TRUE,2x 2 Star
Nothing But The Thong,"You can only wear a thong as clothing (the underwear, not the sandals). Any other clothes disintegrate off of you.","Either get used to it, get regnerating clothes, or get clothes that are part of your body",Moderate Distress,You,Daily Life,TRUE,1x 3 Star
Cold Hands,Your hands are always cold to the point that it hampers your dexterity.,"Gain a heat based ability focused around your hands, or find a way to keep them warm.",Major Inconvenience,You,Physical State,FALSE,2x 2 Star
GOLSHIN-SHIN~!,"You have a high chance of getting dragged into utterly absurd, zany, wacky events. Possibly themed around gold, ships, or horses. These events are quite unavoidable.",Power through with sheer willpower or become enough of a party pooper that no one drags you along anymore.,Major Distress,You,Daily Life,FALSE,1x 3 Star
Sussy Baka,"No matter what, your job title will always be ""Sussy Baka"", regardless of job or position.",Become your own boss and manually change your job title.,Moderate Inconvenience,You,Daily Life,FALSE,1x 2 Star
8th Grader Syndrome,You are a serious chuunibyou and must act and speak accordingly,"Embrace it, mature out of it, or gain enough charisma to make it cool instead of lame.",Moderate Inconvenience,You,Communication,FALSE,1x 2 Star
Porno Music,"Even if it's not sexual, every action you take will be accompanied by the most raunchy, stereotypical porno music you can imagine.","Live with it, get a ticket to expand your soundtrack options, or get a silencing ability.",Moderate Inconvenience,You,Daily Life,TRUE,1x 2 Star
Batman Level Preptime,Your enemies all have layered contingencies and excessive preparation for anything you might do against them in the future.,Become something they cannot prepare against.,Majorly Lethal Danger,Others,Combat,FALSE,2x 4 Star
