Name,Series,Short Description,Category,Gender,Magic,Memetic,Might,Mind,Motion,Moxie,Mutation,Myth,Stats,Rank,Growth Type,Growth Rate,Restock,Return,Gift,NSFW
Fire Manipulation,Generic,Ever wanted to start a fire? With this you can! You gain the ability to generate and control completely normal fire.,Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Water Manipulation,Generic,"Win every water fight, ever. Congrats, you've managed to obtain the ability to generate and control completely normal water.",Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Wind Manipulation,Generic,Ride the hurricane! Eventually. You can control and generate wind.,Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Ice Manipulation,Generic,"You're faster and can freeze your opponents. Well, maybe not now. Control and generate ice based on the tier of ticket you used to get this.",Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Earth Manipulation,Generic,Oh Schist. Gain the ability to generate and manipulate earth. As in dirt and rocks. Normal dirt and rocks. Metal only if its impure enough to have a lot of dirt and rocks.,Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Lightning Manipulation,Generic,Lightning. Generate and control lightning.,Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Metal Manipulation,Generic,"CLANG! You can generate and control metal! It's basically useless for any purpose but hitting someone long term, but its still a solid object. ",Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Sand Manipulation,Generic,Hate it. Create and control Sand,Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Shadow Manipulation,Generic,Perfect for edgelords. Create and control shadows.,Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Light Manipulation,Generic,"Blinding. Create and control light. Normal light, not sunlight, hardlight, or any other light.",Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Abyssal Powers,Generic,"Ia! Ia! Includes some shadow powers, eldritch blasts, etc. Branches into summoning and other magics later on",Ability,N/A,D,D,F,F,F,F,F,F,10,D,Train,Slow,N/A,N/A,FALSE,FALSE
Heavenly Powers,Generic,"Hark! Starts with Holy Light and banishing evil, branches out over time",Ability,N/A,D,D,F,F,F,F,F,D,15,D,Train,Slow,N/A,N/A,FALSE,FALSE
Demonic Powers,Generic,"Hail! Infernal flames and corruption, branches out over time",Ability,N/A,D,D,F,F,F,F,F,D,15,D,Train,Slow,N/A,N/A,FALSE,FALSE
Healing Powers,Generic,"Hallelujah! You can heal others! Touch range at first, gets better and stronger over time",Ability,N/A,D,F,F,F,F,F,F,D,10,D,Train,Medium,N/A,N/A,FALSE,FALSE
Shapeshifting,Generic,"Whoa! You can change your shape! Starts with small features and starts slow, then gets better over time",Ability,N/A,E,E,E,E,E,E,E,E,8,E,Train,Medium,N/A,N/A,FALSE,FALSE
Regeneration,Generic,Feeling great! Heal doubly as fast as normal. Feed another ticket to double it.,Passive,N/A,F,F,F,F,F,F,D,F,5,E,Twin,N/A,N/A,N/A,FALSE,FALSE
Poison Manipulation,Generic,You're toxic. Create and control poisons.,Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Teleporting,Generic,"Bamf! You can teleport! Stamina limited and line of sight at first, but improves with practice",Ability,N/A,E,E,F,F,D,F,F,F,7,E,Train,Medium,N/A,N/A,FALSE,FALSE
Gravity Manipulation,Generic,"Do you believe in gravity? Now you do- control and manipulate it at will, just don't try for a black hole.",Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Necromancy,Generic,"Skeleton Rave! You now have an understanding of the art of Necromancy. Able to prepare bodies, raise undead, interact with souls, and various other magics relating to the dead.",Ability,N/A,C,F,F,F,F,F,F,E,11,D,Train,Medium,N/A,N/A,FALSE,FALSE
Weapon Mastery,Generic,"Basic knowledge of how to use any weapon you pick up. Does not confer actual mastery, just makes it easier to do",Skill,N/A,F,F,E,E,F,E,F,F,3,F,Train,Fast,N/A,N/A,FALSE,FALSE
Speed Modification,Generic,Whoosh! You can change the speed of things. Starts with touch range and a 1.5x increase at base. Costs Stamina,Ability,N/A,E,F,F,F,D,F,F,F,6,E,Train,Medium,N/A,N/A,FALSE,FALSE
